Sc0000000	6559239
Sc0000001	6292381
Sc0000002	6178134
Sc0000003	4723711
Sc0000004	4473568
Sc0000005	4442882
Sc0000006	4369968
Sc0000007	4356444
Sc0000008	4225953
Sc0000009	3881842
Sc0000010	3683289
Sc0000011	3678561
Sc0000012	3670105
Sc0000013	3565719
Sc0000014	3560344
Sc0000015	3545497
Sc0000016	3457629
Sc0000017	3433276
Sc0000018	3391660
Sc0000019	3370953
Sc0000020	3352418
Sc0000021	3263749
Sc0000022	3261662
Sc0000023	3260280
Sc0000024	3246314
Sc0000025	3139890
Sc0000026	3103578
Sc0000027	3070821
Sc0000028	3025794
Sc0000029	3014050
Sc0000030	2979950
Sc0000031	2977645
Sc0000032	2901922
Sc0000033	2874401
Sc0000034	2819359
Sc0000035	2811075
Sc0000036	2778268
Sc0000037	2751317
Sc0000038	2717761
Sc0000039	2674356
Sc0000040	2631169
Sc0000041	2589646
Sc0000042	2582475
Sc0000043	2573354
Sc0000044	2565464
Sc0000045	2563804
Sc0000046	2533075
Sc0000047	2526251
Sc0000048	2505428
Sc0000049	2502395
Sc0000050	2479477
Sc0000051	2467642
Sc0000052	2429443
Sc0000053	2414688
Sc0000054	2407272
Sc0000055	2398479
Sc0000056	2348173
Sc0000057	2348003
Sc0000058	2335173
Sc0000059	2295141
Sc0000060	2282029
Sc0000061	2280097
Sc0000062	2257274
Sc0000063	2250227
Sc0000064	2226613
Sc0000065	2226417
Sc0000066	2218176
Sc0000067	2217554
Sc0000068	2204266
Sc0000069	2201547
Sc0000070	2191692
Sc0000071	2185177
Sc0000072	2184715
Sc0000073	2184159
Sc0000074	2175087
Sc0000075	2169788
Sc0000076	2149260
Sc0000077	2148540
Sc0000078	2129343
Sc0000079	2116581
Sc0000080	2114177
Sc0000081	2086845
Sc0000082	2077405
Sc0000083	2067401
Sc0000084	2059417
Sc0000085	2034723
Sc0000086	2018575
Sc0000087	2010655
Sc0000088	1991104
Sc0000089	1990778
Sc0000090	1990663
Sc0000091	1944735
Sc0000092	1934138
Sc0000093	1925978
Sc0000094	1909771
Sc0000095	1909513
Sc0000096	1907789
Sc0000097	1898933
Sc0000098	1896705
Sc0000099	1893621
Sc0000100	1891907
Sc0000101	1886498
Sc0000102	1886405
Sc0000103	1883061
Sc0000104	1870731
Sc0000105	1869394
Sc0000106	1864946
Sc0000107	1864488
Sc0000108	1859019
Sc0000109	1857305
Sc0000110	1857273
Sc0000111	1839426
Sc0000112	1832870
Sc0000113	1828368
Sc0000114	1823777
Sc0000115	1823472
Sc0000116	1818821
Sc0000117	1812680
Sc0000118	1811407
Sc0000119	1808011
Sc0000120	1801611
Sc0000121	1784705
Sc0000122	1779677
Sc0000123	1777993
Sc0000124	1774246
Sc0000125	1763589
Sc0000126	1760445
Sc0000127	1753187
Sc0000128	1747808
Sc0000129	1745937
Sc0000130	1737208
Sc0000131	1732987
Sc0000132	1712202
Sc0000133	1703072
Sc0000134	1696694
Sc0000135	1694576
Sc0000136	1681040
Sc0000137	1670618
Sc0000138	1669240
Sc0000139	1667658
Sc0000140	1659467
Sc0000141	1658893
Sc0000142	1644683
Sc0000143	1641169
Sc0000144	1639792
Sc0000145	1628883
Sc0000146	1627310
Sc0000147	1626451
Sc0000148	1622431
Sc0000149	1620920
Sc0000150	1611280
Sc0000151	1604579
Sc0000152	1603506
Sc0000153	1599201
Sc0000154	1598707
Sc0000155	1597228
Sc0000156	1594386
Sc0000157	1593632
Sc0000158	1591899
Sc0000159	1588805
Sc0000160	1584767
Sc0000161	1582331
Sc0000162	1581723
Sc0000163	1579367
Sc0000164	1575567
Sc0000165	1575545
Sc0000166	1570755
Sc0000167	1568090
Sc0000168	1567075
Sc0000169	1566286
Sc0000170	1565829
Sc0000171	1565726
Sc0000172	1565667
Sc0000173	1564883
Sc0000174	1555222
Sc0000175	1553134
Sc0000176	1536079
Sc0000177	1535878
Sc0000178	1535613
Sc0000179	1535426
Sc0000180	1533623
Sc0000181	1527364
Sc0000182	1525768
Sc0000183	1524849
Sc0000184	1523043
Sc0000185	1522409
Sc0000186	1519828
Sc0000187	1518942
Sc0000188	1517023
Sc0000189	1516272
Sc0000190	1514352
Sc0000191	1513136
Sc0000192	1511392
Sc0000193	1510482
Sc0000194	1510368
Sc0000195	1510272
Sc0000196	1503419
Sc0000197	1499941
Sc0000198	1491776
Sc0000199	1487204
Sc0000200	1486779
Sc0000201	1486750
Sc0000202	1480886
Sc0000203	1478428
Sc0000204	1478288
Sc0000205	1476119
Sc0000206	1473717
Sc0000207	1472070
Sc0000208	1467086
Sc0000209	1465114
Sc0000210	1460795
Sc0000211	1457007
Sc0000212	1456809
Sc0000213	1456544
Sc0000214	1455133
Sc0000215	1452069
Sc0000216	1448766
Sc0000217	1439439
Sc0000218	1435685
Sc0000219	1429699
Sc0000220	1429163
Sc0000221	1419950
Sc0000222	1418616
Sc0000223	1417079
Sc0000224	1414544
Sc0000225	1414538
Sc0000226	1409088
Sc0000227	1408428
Sc0000228	1406130
Sc0000229	1398185
Sc0000230	1396712
Sc0000231	1396001
Sc0000232	1395116
Sc0000233	1390042
Sc0000234	1388345
Sc0000235	1386450
Sc0000236	1386373
Sc0000237	1384811
Sc0000238	1378171
Sc0000239	1372336
Sc0000240	1370789
Sc0000241	1370427
Sc0000242	1369073
Sc0000243	1365843
Sc0000244	1358017
Sc0000245	1357935
Sc0000246	1357922
Sc0000247	1353876
Sc0000248	1349869
Sc0000249	1349458
Sc0000250	1346196
Sc0000251	1342672
Sc0000252	1340088
Sc0000253	1339699
Sc0000254	1335021
Sc0000255	1334284
Sc0000256	1328640
Sc0000257	1327871
Sc0000258	1327736
Sc0000259	1327070
Sc0000260	1324810
Sc0000261	1320466
Sc0000262	1319497
Sc0000263	1316668
Sc0000264	1311023
Sc0000265	1302623
Sc0000266	1302607
Sc0000267	1293909
Sc0000268	1293894
Sc0000269	1292672
Sc0000270	1287563
Sc0000271	1281884
Sc0000272	1281309
Sc0000273	1275463
Sc0000274	1274654
Sc0000275	1274334
Sc0000276	1273642
Sc0000277	1272040
Sc0000278	1270101
Sc0000279	1268096
Sc0000280	1262280
Sc0000281	1261571
Sc0000282	1258923
Sc0000283	1258904
Sc0000284	1258127
Sc0000285	1253783
Sc0000286	1253484
Sc0000287	1248361
Sc0000288	1247636
Sc0000289	1246283
Sc0000290	1246158
Sc0000291	1246105
Sc0000292	1246052
Sc0000293	1241583
Sc0000294	1240764
Sc0000295	1239246
Sc0000296	1232414
Sc0000297	1231605
Sc0000298	1231552
Sc0000299	1230037
Sc0000300	1227566
Sc0000301	1223396
Sc0000302	1223078
Sc0000303	1220802
Sc0000304	1220516
Sc0000305	1219337
Sc0000306	1216337
Sc0000307	1216301
Sc0000308	1215566
Sc0000309	1214999
Sc0000310	1212610
Sc0000311	1211956
Sc0000312	1211299
Sc0000313	1210379
Sc0000314	1209669
Sc0000315	1209418
Sc0000316	1206734
Sc0000317	1205754
Sc0000318	1205102
Sc0000319	1204749
Sc0000320	1203514
Sc0000321	1202902
Sc0000322	1202639
Sc0000323	1201657
Sc0000324	1200679
Sc0000325	1198787
Sc0000326	1196466
Sc0000327	1196180
Sc0000328	1196008
Sc0000329	1192615
Sc0000330	1190324
Sc0000331	1187004
Sc0000332	1186727
Sc0000333	1183251
Sc0000334	1182678
Sc0000335	1181715
Sc0000336	1175688
Sc0000337	1173196
Sc0000338	1168065
Sc0000339	1167261
Sc0000340	1166401
Sc0000341	1164142
Sc0000342	1163890
Sc0000343	1162849
Sc0000344	1162067
Sc0000345	1159941
Sc0000346	1158072
Sc0000347	1157068
Sc0000348	1150099
Sc0000349	1149543
Sc0000350	1148706
Sc0000351	1145632
Sc0000352	1142683
Sc0000353	1141068
Sc0000354	1141038
Sc0000355	1140496
Sc0000356	1140402
Sc0000357	1139658
Sc0000358	1139485
Sc0000359	1136653
